Country,EdLevel,YearsCodePro,Employment,Salary,UndergradMajor
23,0,1.0,0,8820.0,10
36,0,0.5,0,61000.0,6
21,1,4.0,0,95179.0,6
36,2,8.0,0,90000.0,6
11,3,2.0,0,57060.0,6
1,0,2.0,0,65277.0,6
28,2,3.0,0,21996.0,6
4,1,13.0,0,31140.0,6
23,2,4.0,0,41244.0,9
36,0,1.0,0,69000.0,9
29,1,1.0,0,6300.0,6
36,1,8.0,0,114000.0,6
32,0,3.0,0,90417.0,6
0,2,3.0,0,8400.0,3
36,0,14.0,0,80000.0,9
7,2,22.0,0,51312.0,6
36,0,23.0,0,156000.0,6
30,0,2.0,0,20623.0,6
11,0,19.0,0,87996.0,9
36,2,35.0,0,175000.0,5
36,3,20.0,0,187000.0,2
23,1,8.0,0,60000.0,6
14,0,2.0,0,5597.0,5
25,1,1.0,0,39504.0,6
23,0,10.0,0,51150.0,9
10,2,0.5,0,97389.0,0
36,1,8.0,0,66000.0,6
20,1,1.0,0,87994.0,6
7,0,2.0,1,14964.0,9
11,2,25.0,0,137490.0,6
1,0,2.0,0,36265.0,9
14,0,7.0,0,11194.0,10
32,3,2.0,0,19284.0,6
36,2,23.0,0,75000.0,9
23,0,0.5,0,4128.0,6
21,0,9.0,2,110352.0,10
16,0,2.0,0,114575.0,6
14,0,7.0,0,17491.0,6
35,0,5.0,0,39254.0,6
36,0,20.0,2,100000.0,0
14,0,3.0,0,7696.0,6
35,2,27.0,0,143932.0,6
14,0,0.5,0,117540.0,10
24,0,2.0,0,3468.0,6
11,0,14.0,2,52704.0,6
23,1,3.0,0,16008.0,9
4,0,8.0,0,36060.0,6
14,2,2.0,0,16788.0,6
2,0,3.0,0,57287.0,0
35,1,5.0,0,43180.0,6
36,0,6.0,0,66750.0,4
6,1,20.0,0,229016.0,6
14,0,7.0,0,2169.0,6
36,0,2.0,0,45000.0,6
36,2,10.0,0,160000.0,6
36,0,48.0,0,140000.0,5
36,2,4.0,0,100000.0,6
28,0,31.0,0,54996.0,5
6,0,3.0,0,53437.0,6
31,1,0.5,0,39768.0,9
30,2,9.0,0,103117.0,6
36,0,11.0,0,26000.0,6
18,0,3.0,0,35518.0,6
29,0,2.0,0,21612.0,3
23,2,6.0,0,38496.0,6
33,0,3.0,0,18432.0,5
14,0,3.0,0,9095.0,6
20,0,14.0,2,194800.0,6
36,2,12.0,0,106000.0,6
36,3,11.0,0,62000.0,6
4,0,6.0,0,13116.0,6
1,0,20.0,0,199450.0,6
36,0,9.0,0,83200.0,6
12,2,27.0,0,63016.0,6
28,1,4.0,0,32196.0,9
36,0,2.0,0,70000.0,6
14,0,4.0,0,7556.0,6
36,0,2.0,0,180000.0,6
11,0,20.0,1,54996.0,0
0,1,5.0,0,17280.0,6
36,0,5.0,0,135000.0,6
2,0,15.0,1,43992.0,9
27,0,13.0,0,54996.0,6
30,0,16.0,2,27498.0,10
5,0,0.5,0,24612.0,5
2,0,10.0,0,47244.0,6
23,0,10.0,1,43956.0,10
23,0,20.0,0,82488.0,6
15,0,3.0,0,9120.0,6
35,0,20.0,0,62807.0,6
2,1,0.5,1,38496.0,6
30,0,4.0,0,65424.0,6
11,2,7.0,0,77911.0,5
14,0,2.0,0,2016.0,6
1,1,2.0,0,36265.0,6
36,0,3.0,0,70000.0,6
0,2,9.0,0,84000.0,6
13,0,7.0,0,46913.0,6
23,2,4.0,0,40101.0,2
36,0,6.0,0,125000.0,6
23,0,3.0,0,61172.0,6
23,2,4.0,0,24504.0,6
36,0,5.0,0,90000.0,6
35,0,21.0,2,157017.0,2
25,2,5.0,0,12828.0,6
10,2,16.0,0,44684.0,6
1,0,7.0,0,62376.0,3
26,0,10.0,0,50868.0,6
6,1,20.0,0,72522.0,6
23,0,3.0,0,2664.0,6
36,0,7.0,0,120000.0,9
23,2,10.0,0,57349.0,6
36,0,9.0,0,112800.0,2
36,3,17.0,0,110000.0,6
36,1,11.0,0,117800.0,10
23,0,22.0,0,49006.0,6
36,2,20.0,0,66000.0,6
22,2,19.0,1,78207.0,5
20,0,4.0,0,54996.0,0
6,1,14.0,0,49620.0,10
36,0,15.0,0,110000.0,5
28,0,2.0,0,6420.0,6
36,0,10.0,0,233000.0,6
31,2,0.5,0,43740.0,5
23,0,8.0,0,80000.0,6
36,0,10.0,0,120000.0,6
14,2,9.0,0,27986.0,6
6,1,10.0,0,65651.0,6
36,0,10.0,0,90000.0,5
36,0,4.0,0,88000.0,6
2,2,9.0,0,57744.0,6
23,0,1.0,0,30588.0,6
36,1,4.0,0,80738.0,6
35,0,7.0,0,58881.0,6
1,1,20.0,0,130554.0,9
10,2,0.5,0,24744.0,6
