,Country,EdLevel,YearsCodePro,Employment,Salary,UndergradMajor
42491,36,0,4.0,0,80000.0,9
70275,23,0,11.0,0,45840.0,5
5444,11,2,1.0,0,49267.0,6
2796,8,1,5.0,0,101280.0,6
2984,11,2,13.0,0,114575.0,6
4060,36,0,2.0,0,60000.0,6
69332,4,0,0.5,0,5496.0,9
69312,19,0,10.0,0,29088.0,5
6128,36,0,20.0,0,135000.0,6
66240,36,0,2.0,0,75000.0,6
31112,36,2,23.0,0,100000.0,6
17724,11,0,1.0,1,12050.0,2
62248,23,3,4.0,0,5664.0,6
40238,36,0,1.0,0,63500.0,6
45769,36,1,7.0,0,120000.0,3
58082,16,0,3.0,0,108098.0,6
71097,36,0,18.0,0,165000.0,2
46551,4,0,5.0,0,22449.0,6
46288,23,1,11.0,2,64752.0,5
22317,23,0,20.0,0,8328.0,9
6010,36,2,6.0,0,240000.0,6
7002,11,2,5.0,0,57287.0,6
30470,14,0,8.0,0,21269.0,9
66427,36,2,8.0,0,67000.0,6
5055,23,2,0.5,0,42239.0,6
45774,35,2,3.0,2,64630.0,6
49927,20,0,12.0,2,45396.0,3
32819,36,0,16.0,2,150000.0,6
50242,23,0,11.0,0,6060.0,9
32306,34,2,7.0,0,21636.0,5
57758,33,0,5.0,0,23664.0,3
45146,36,0,30.0,0,95000.0,5
22663,4,0,6.0,0,88512.0,9
24275,13,1,6.0,0,19920.0,6
55266,14,0,1.0,0,4468.0,6
18124,36,2,3.0,0,108000.0,0
95,36,0,3.0,0,70000.0,6
48326,26,2,2.0,0,11676.0,6
5676,14,0,5.0,0,7136.0,6
61940,35,0,4.0,0,44595.0,5
5821,36,2,3.0,0,65000.0,6
5048,11,2,11.0,0,98534.0,6
64482,28,0,14.0,0,67944.0,6
13797,31,2,8.0,0,68928.0,6
52503,27,1,7.0,0,37992.0,9
28585,14,0,4.0,0,22668.0,6
38125,35,0,12.0,0,75891.0,6
7320,23,3,5.0,2,23000.0,0
39252,23,1,4.0,2,14436.0,6
18463,29,0,6.0,0,36924.0,6
36387,14,0,8.0,0,27986.0,6
23543,36,1,20.0,2,125000.0,5
44868,36,1,10.0,0,66000.0,10
18191,23,0,2.0,0,60118.0,6
35646,36,0,4.0,0,132000.0,6
52459,2,0,3.0,1,32424.0,6
46868,14,0,2.0,0,4188.0,6
51982,20,0,14.0,1,73507.0,6
9204,18,1,23.0,0,46752.0,3
18874,26,2,9.0,0,32316.0,5
55548,14,0,4.0,0,23460.0,5
59962,10,2,20.0,2,67021.0,5
37541,10,0,0.5,1,19416.0,10
28007,14,0,6.0,0,23298.0,6
29761,23,2,19.0,0,67896.0,6
46131,36,2,38.0,0,140000.0,6
48855,23,2,10.0,0,59454.0,6
16686,36,0,7.0,0,75000.0,5
508,23,2,12.0,0,53184.0,6
68284,25,1,1.0,0,12144.0,6
66161,13,3,1.0,2,38486.0,4
22206,23,0,15.0,0,30672.0,6
65533,36,2,4.0,0,67800.0,7
38808,20,2,5.0,0,80202.0,6
2826,0,1,3.0,0,10656.0,6
38880,36,0,30.0,0,122000.0,9
43913,6,1,27.0,0,75631.0,6
46263,10,2,8.0,2,38916.0,6
20168,10,3,5.0,0,57287.0,3
43364,8,0,2.0,0,79188.0,6
27533,23,0,4.0,0,12000.0,6
55802,10,2,4.0,0,39996.0,10
69136,23,0,5.0,0,30000.0,6
14441,35,2,15.0,2,196271.0,6
27708,18,1,1.0,1,9624.0,10
18250,1,2,30.0,0,58024.0,6
16174,36,0,32.0,0,120000.0,0
19661,23,0,4.0,2,5736.0,6
32565,36,0,4.0,0,155000.0,6
7439,23,0,2.0,0,13356.0,9
19153,14,2,3.0,0,100752.0,6
6006,36,3,8.0,0,73000.0,2
33141,14,0,2.0,0,28548.0,6
39270,23,2,8.0,0,57287.0,6
25770,8,2,25.0,2,46036.0,3
8074,31,2,1.0,0,49044.0,6
19469,7,2,10.0,0,79116.0,6
19672,11,1,20.0,0,30252.0,6
30672,30,1,4.0,0,25206.0,5
38828,11,2,11.0,0,74474.0,6
36702,16,0,5.0,0,106555.0,6
56991,36,0,3.0,0,108000.0,6
28813,36,1,0.5,0,60000.0,9
40411,17,0,12.0,0,131952.0,6
60571,28,1,4.0,0,14160.0,5
70412,6,0,15.0,0,113447.0,5
58343,35,2,13.0,0,96945.0,6
70991,23,0,1.0,0,3600.0,6
14938,25,2,14.0,0,105816.0,6
8943,14,0,6.0,0,16623.0,6
41285,35,2,21.0,0,81780.0,9
7306,10,2,13.0,0,80202.0,6
69865,20,0,5.0,0,40212.0,6
36414,36,1,1.0,0,40000.0,6
53269,19,0,3.0,0,5820.0,10
63072,36,0,3.0,0,141000.0,6
35834,23,2,15.0,2,18300.0,6
71235,23,0,16.0,0,10896.0,6
38235,15,0,1.0,0,7128.0,6
26637,36,0,20.0,0,135000.0,6
60271,36,0,11.0,0,140000.0,6
70339,11,1,8.0,0,61616.0,8
7471,31,2,12.0,0,59652.0,6
10640,31,0,13.0,2,79536.0,9
55770,11,1,8.0,0,70704.0,6
36851,27,2,6.0,0,28152.0,6
69710,30,0,14.0,0,27025.0,6
33772,23,0,5.0,0,62268.0,6
29025,36,1,13.0,2,77400.0,6
44861,35,1,14.0,0,33348.0,7
22137,36,1,4.0,0,86000.0,0
12214,35,0,18.0,0,95518.0,6
49776,23,1,3.0,0,20760.0,6
